OBJECTID,FIPS,PASSENGER,STRACNET,CARTO,Rail_Type,Rail_Type_Description,RROwner,RR_OPERATOR,Subdivision,Division,SIGSYS,Track Rights 1,Track Rights 2,Track Rights 3,Yard Name,Max Weight (lbs),Clearance (TOFC),Clearance (COFC),Clearance (Autorack),Railroad Type,FCC_VGIN,Notes,EDITOR,State Supported Route,Rail_Active_Status,Former_Rail_Type,Shape__Length
37,51820,Yes,No,Yes,M,Main Line,BB,BB,RICHMOND & ALLEGHANY DIVISION,N/A,CTC,AMTK,CSXT,N/A,N/A,286000,2tunnel/bridge(SRP),2tunnel/bridge(SRP),2tunnel/bridge(SRP),Shortline,B1, ,AB,,,Main Line,12516.9613522512
38,51820,Yes,No,No,M,Main Line,BB,BB,RICHMOND & ALLEGHANY,N/A,CTC,AMTK,CSXT,N/A,N/A,N/A,N/A,N/A,N/A,Shortline,B1, ,AB,,,Main Line,2290.92212287295
39,51820,Yes,No,No,M,Main Line,BB,BB,RICHMOND & ALLEGHANY,N/A,CTC,AMTK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Shortline,B1, ,AB,,,Main Line,99.0707519695011
40,51820,No,Yes,Yes,M,Main Line,NS,NS,ROANOKE DISTRICT JUNIOR AVENUE TO ROANOKE,VIRGINIA DIVISION,CTC,N/A,N/A,N/A,N/A,315000,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,9897.86690681623
41,51820,No,Yes,Yes,M,Main Line,NS,NS,ROANOKE DISTRICT JUNIOR AVENUE TO ROANOKE,VIRGINIA DIVISION,CTC,N/A,N/A,N/A,N/A,315000,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,2565.68287915926
42,51820,No,Yes,No,M,Main Line,NS,NS,N/A,N/A,CTC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,280.081660576954
43,51820,No,Yes,No,M,Main Line,NS,NS,N/A,N/A,CTC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,707.969050902685
44,51820,No,No,No,O,Spur,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B2, ,AB,,,Spur,328.209793163999
45,51820,No,Yes,No,M,Main Line,NS,NS,N/A,N/A,CTC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,574.25422138908
46,51820,No,No,No,Y,Yard,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B3, ,AB,,,Yard,2405.63092199782
47,51820,No,Yes,No,M,Main Line,NS,NS,N/A,N/A,CTC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,608.728807934292
48,51820,No,Yes,Yes,M,Main Line,NS,NS,N/A,N/A,CTC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,336.828247562568
49,51820,No,No,No,O,Spur,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B2, ,AB,,,Spur,678.113070660102
50,51820,No,No,No,O,Spur,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B2, ,AB,,,Spur,148.50422037579
51,51820,No,Yes,Yes,M,Main Line,NS,NS,N/A,N/A,CTC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,176.526543228884
52,51820,No,Yes,Yes,M,Main Line,NS,NS,N/A,N/A,CTC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,42.6698296571011
53,51820,No,Yes,No,M,Main Line,NS,NS,N/A,N/A,CTC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,352.149978728326
54,51820,No,Yes,Yes,M,Main Line,NS,NS,N/A,N/A,CTC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,263.47149910647
55,51820,No,Yes,Yes,M,Main Line,NS,NS,N/A,N/A,CTC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,259.880681942875
56,51820,No,Yes,No,M,Main Line,NS,NS,N/A,N/A,CTC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,267.319801255781
57,51820,No,Yes,Yes,M,Main Line,NS,NS,N/A,N/A,CTC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,615.650807446181
58,51820,No,Yes,No,M,Main Line,NS,NS,N/A,N/A,CTC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,541.999829971534
