artist,spotify_track_uri,genre
Bob Sinclar,spotify:track:6quGF3Kvzd5WYEEuCmvCe1,disco house
"Bobby ""Blue"" Bland",spotify:track:4Nxid85fmQidPAY1ZD8Bo1,soul blues
Bobby Caldwell,spotify:track:6Dk5fHTvH897XrVzCO64Mx,yacht rock
Bobby Hebb,spotify:track:4vju55Ag7apDL2CfotuE7Q,northern soul
Bobby McFerrin,spotify:track:5mmp5ajsl9cPv9B36PhbcQ,a cappella
Bobby Timmons Trio,spotify:track:6PFR2aa6vZ6BIeRAEifQux,hard bop
Bobby Womack,spotify:track:6G7MHIvSDR3ehXPkuDFAlM,classic soul
Boldy James,spotify:track:47FkzJm1bUaIc0OaGZvslL,alternative hip hop
Bon Jovi,spotify:track:37ZJ0p5Jm13JPevGcx4SkF,glam metal
Bone Thugs-N-Harmony,spotify:track:1dF5Y2dd7Wm4wZKvVjWBpr,gangster rap
Bonnie Raitt,spotify:track:2zLIjfjQ8kMy7WSSLmF0I2,country rock
Bonobo,spotify:track:2ZaL63zLMDr6H18El2EIt9,downtempo
Booker T. & the M.G.'s,spotify:track:4fQMGlCawbTkH9yPPZ49kP,blues
Borai & Denham Audio,spotify:track:6RaaQvkGUe8Je8yAkdwQNm,No genres found
Boston,spotify:track:1QEEqeFIZktqIpPI4jSVSF,album rock
Boz Scaggs,spotify:track:7pG7odMa9PQ7ME0ZfnyR8d,classic rock
Brad Mehldau,spotify:track:5Jz6iIgLRx5huCdlM8QDts,contemporary jazz
Brad stank,spotify:track:7dLW8Xafiq7m747c5qO5NM,No genres found
Brahja,spotify:track:5j5T6GwzXTYkAjLZP0K1At,No genres found
Brainstory,spotify:track:33QyoRmhHKADVNXnn4VgvY,socal indie
Brand Nubian,spotify:track:4PcO1Spa5Vy5zFePNzTRap,conscious hip hop
Brand X,spotify:track:7D1xirIyVADg0nfDYOVfqd,british jazz
Brandi Carlile,spotify:track:0vAGNjNpJhjZTxvtcGeAib,acoustic pop
Breadwinner,spotify:track:0KWUH48wVtVhgSDXd5wQlB,math rock
Breakbot,spotify:track:0tZkVZ9DeAa0MNK2gY5NtV,filter house
Brent Cobb,spotify:track:4jB3Mw900goYibsFAueHph,modern southern rock
Brent Faiyaz,spotify:track:1zgHn1EqUyA0HqNYMdJ5ia,r&b
Brenton Wood,spotify:track:4WiGGTl7Kt5vnjQHqwLJy1,classic soul
Bright Eyes,spotify:track:0eBryM7ePQH3Klt3jz8xZd,chamber pop
Briston Maroney,spotify:track:0awZwmlC6pxH65KTZpadmX,nashville indie
Britney Spears,spotify:track:6I9VzXrHxO9rA9A5euc8Ak,dance pop
Broadcast,spotify:track:2omiaJwimfJMlcM6yw2YmA,art pop
Broken Bells,spotify:track:3DXJaOI3mI10QkPhRu3r2p,chamber pop
Broken Social Scene,spotify:track:0VXp4zDspR993l2hIKW17g,alternative rock
Brotality,spotify:track:5myPkBbjcP99By2BH8d9jZ,No genres found
Bruce Cockburn,spotify:track:6HSAQyWMFaTKheXl3xBE0P,canadian singer-songwriter
Bruno Mars,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,dance pop
Bryan Adams,spotify:track:2RWFncSWZEhSRRifqiDNVV,canadian pop
Bryant Perez,spotify:track:3KPZSbrpyN0LQ5CvjIQM79,No genres found
Bryson Tiller,spotify:track:57wp7VFnV8X0pSVnYArGeJ,kentucky hip hop
Buddy Miles,spotify:track:6zYQOQjcQlv5zIJ17q65LG,psychedelic soul
Buffalo Springfield,spotify:track:1qRA5BS78u3gME0loMl9AA,album rock
Built To Spill,spotify:track:3HMOMdRPywfouYx5B4PvaH,alternative rock
Burton Badman,spotify:track:5akoTIRDrFkIEu30nPicka,No genres found
Bush,spotify:track:1wrhhPzd2ncJPNgUcGgBGg,alternative metal
Busta Rhymes,spotify:track:7rdRdDSX3uMHEGL6wHSxyh,east coast hip hop
Butthole Surfers,spotify:track:1ng36571Iyov4HBxUClySn,alternative rock
Buzzcocks,spotify:track:5YUJMvTg4AWHKjqQidTsGK,alternative rock
CAKE,spotify:track:1szwDbVdIdoQq5mG5GXAmJ,alternative rock
CAN,spotify:track:38jqyFghcqZbGubCgOvCkJ,experimental
CARRTOONS,spotify:track:5KXNgbRYbqwEFIFM0AMakg,instrumental hip hop
CHERISE,spotify:track:6bsCkIuP5zdST3CrvBJDnm,No genres found
CHIC,spotify:track:2wYKNcoqKW4IEcllj42xz1,disco
CSTVT,spotify:track:2rfSTdc8oRZLFK7Khy9XlH,midwest emo
CZARFACE,spotify:track:2SfE58UZe7Y3TVjozT1fPC,alternative hip hop
Cage The Elephant,spotify:track:3Pzh926pXggbMe2ZpXyMV7,modern alternative rock
Calum Scott,spotify:track:2BOqDYLOJBiMOXShCV1neZ,pop
Calvin Harris,spotify:track:6YUTL4dYpB9xZO5qExPf05,dance pop
Camel,spotify:track:0QrVGsf16hEmn9JOKAeXrt,canterbury scene
Cameo,spotify:track:5ISCPV5GnIYbtvVrPohEm6,disco
Camille Yarbrough,spotify:track:2c4zwlPMc5dHS3Kg6oeUjk,psychedelic soul
Camp Lo,spotify:track:20DcrlNK0NcRknbX4wcEO4,bronx hip hop
Cancer Bats,spotify:track:5K95A0R2KYf5zyhR8Np5e7,canadian hardcore
Candy Dulfer,spotify:track:7jZ0n3hGirxUYCr8Zm3QFh,smooth jazz
Canned Heat,spotify:track:3iltRlox3jEeSKuqdW88EK,blues
Cannonball Adderley,spotify:track:2OZBaElueR8UCp8bQZWII0,bebop
Cap'n Jazz,spotify:track:5UGOuPyoMT5XHNA75LJlQE,chicago punk
Car Seat Headrest,spotify:track:6kOHjAOLz9IvUiRGf72Kec,furry
Carcass,spotify:track:0IGyvk01FMUUHCST3N85Uq,british death metal
Carmilla,spotify:track:0Uokk4s0rCqGT04qVI88hN,No genres found
Carole King,spotify:track:6MBS3ARYYlI4FtYjaTinK5,brill building pop
Caroline Rose,spotify:track:3YUacjGhqQptDlWUzftaIB,indie pop
Cartel,spotify:track:4YoM9p4lEpwPHKE16j3VGJ,atlanta punk
Cashmere Cat,spotify:track:7HdZY9UJTylIiNcSDFyUDc,downtempo
Casiotone For The Painfully Alone,spotify:track:1mOCICvbkPFkD9yKiYYJRn,anti-folk
Caskets,spotify:track:30EiUbCndeLaUTj7SEL966,metalcore
Catherine Russell,spotify:track:7Kqk5EpwqiukPkDutSFFZk,contemporary vocal jazz
Cavetown,spotify:track:7asyVbwQE7IbA3x2be7bdI,bedroom pop
Celia Cruz,spotify:track:1BwrMGGhPA6GarWIYaFrW8,cha-cha-cha
Central Cee,spotify:track:12Us8e6NFesdkXKf4StU1I,melodic drill
Chairlift,spotify:track:4KCcxVTDOuOntQCaXZkN3R,brooklyn indie
Chance the Rapper,spotify:track:73mjPiWQcaOQdfzXvNt1IT,chicago rap
Chappell Roan,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,indie pop
Charles Bradley,spotify:track:1XaEbJnU6pelb9arRoJA73,funk
Charles Left,spotify:track:3nCvccXNLmlnGXnhiTBzuQ,No genres found
Charles Mingus,spotify:track:3PJMsxg6rz9FOo6xNiASXz,avant-garde jazz
Charles Wright & The Watts 103rd Street Rhythm Band,spotify:track:4pW3aTX3kAmOaPJfc9UM12,classic soul
Charli xcx,spotify:track:01TnMXIy7mJJQ7E8uy937N,art pop
Charlie Burg,spotify:track:79Usn4POWC308crb9UA1Rb,ann arbor indie
Chester Watson,spotify:track:7ElN6SNOtnBy7pqPwLd66I,underground hip hop
Chet Baker,spotify:track:2d64G7VaZdHQuAquz5HQNu,cool jazz
Chevelle,spotify:track:6dRAAG4sB71NAtVCHJep7s,alternative metal
Chicago,spotify:track:7GqIDx2QVGOpd4r1fZaUUW,album rock
Chick Corea,spotify:track:5RrJCusmR1J54b5ivqdWIu,bebop
Childish Gambino,spotify:track:1wYIv0ySOwjMFWLOtrgtbo,atl hip hop
Chon,spotify:track:0mnyjCNu9XUi5dv0JD3UqM,instrumental math rock
Chri$tian Gate$,spotify:track:2QKvY6uyFP91udljm6Uf14,sad rap
Chris Isaak,spotify:track:7w5AOd6HrDIHewHfpABEss,mellow gold
Chris Lake,spotify:track:2e2yKavdT6WQzzMHwNtPFa,bass house
Christopher Cross,spotify:track:6Rd36fAvK6klQPYgx3534I,mellow gold
Chuck Berry,spotify:track:2QfiRTz5Yc8DdShCxG1tB2,blues
Chuck Mangione,spotify:track:2M7EflZCPCqqRLB9hy5MDy,jazz trumpet
"Chunk! No, Captain Chunk!",spotify:track:4KuwjTOfniivWFKJz3p1yW,easycore
Chuuwee,spotify:track:4IiI9lpobMyEbhV5VstNs7,indie hip hop
Cigarettes After Sex,spotify:track:0yc6Gst2xkRu0eMLeRMGCX,ambient pop
Cilver,spotify:track:7Kp1Ny1IRHyH5gwRlOig60,pixie
Circa Survive,spotify:track:2wav9X3SPxSQNNO9AYj47L,dreamo
Circulatory System,spotify:track:5MhhB6f7vA18rhQd0yXq0X,elephant 6
Citizen,spotify:track:5iZw5AzGiQx5rmmocWBFOz,alternative emo
Citizen Kane,spotify:track:4yFGdGBW4T83aXk4brogiR,No genres found
Clairo,spotify:track:6UFivO2zqqPFPoQYsEMuCc,bedroom pop
Clarence Carter,spotify:track:7r3Hwig1mvtlVq0ZbJ09Wb,soul
Clarence James,spotify:track:03bnnlRI981SeYlaSPsYTp,No genres found
Class Actress,spotify:track:6GEIpzW14NtOjqHejbcSRE,brooklyn indie
Clear Soul Forces,spotify:track:3q5oDe7Li71bfOpr865pKW,alternative hip hop
Clever Girl,spotify:track:3f27mtLKBWGcGC5VXbMNji,british math rock
